acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4095,4095,13661,-1448,-6,16776
4095,4095,13662,-1504,-6,16696
4095,4095,13662,-1504,-6,16696
4095,4095,13663,-1488,-14,16714
4095,4095,13663,-1488,-14,16714
4095,4095,13664,-1468,-30,16740
4095,4095,13664,-1468,-30,16740
4095,4095,13665,-1478,-30,16660
4095,4095,13665,-1478,-30,16660
4095,4095,13666,-1456,12,16736
4095,4095,13666,-1456,12,16736
4095,4095,13667,-1438,-38,16742
4095,4095,13667,-1438,-38,16742
4095,4095,13668,-1492,-44,16690
4095,4095,13668,-1492,-44,16690
4095,4095,13669,-1476,8,16736
4095,4095,13669,-1476,8,16736
4095,4095,13670,-1476,-44,16748
4095,4095,13670,-1476,-44,16748
4095,4095,13671,-1478,-60,16698
4095,4095,13671,-1478,-60,16698
4095,4095,13672,-1484,-66,16724
4095,4095,13672,-1484,-66,16724
4095,4095,13673,-1488,-52,16726
4095,4095,13673,-1488,-52,16726
4095,4095,13674,-1478,-18,16666
4095,4095,13674,-1478,-18,16666
4095,4095,13675,-1444,-14,16696
4095,4095,13675,-1444,-14,16696
4095,4095,13676,-1472,-14,16780
4095,4095,13676,-1472,-14,16780
4095,4095,13677,-1418,0,16702
4095,4095,13677,-1418,0,16702
4095,4095,13678,-1478,-36,16718
4095,4095,13678,-1478,-36,16718
4095,4095,13679,-1438,-36,16810
4095,4095,13679,-1438,-36,16810
4095,4095,13680,-1446,-10,16746
4095,4095,13680,-1446,-10,16746
4095,4095,13681,-1480,-8,16910
4095,4095,13681,-1480,-8,16910
4095,4095,13682,-1500,-56,16874
4095,4095,13682,-1500,-56,16874
4095,4095,13683,-1478,-20,16692
4095,4095,13683,-1478,-20,16692
4095,4095,13684,-1488,-28,16690
4095,4095,13684,-1488,-28,16690
4095,4095,13685,-1458,-54,16728
4095,4095,13685,-1458,-54,16728
4095,4095,13686,-1472,-72,16660
4095,4095,13686,-1472,-72,16660
4095,4095,13687,-1466,-38,16762
4095,4095,13687,-1466,-38,16762
4095,4095,13688,-1438,-32,16794
4095,4095,13688,-1438,-32,16794
4095,4095,13689,-1476,-6,16654
4095,4095,13689,-1476,-6,16654
4095,4095,13690,-1466,-22,16678
4095,4095,13690,-1466,-22,16678
4095,4095,13691,-1446,-44,16726
4095,4095,13691,-1446,-44,16726
4095,4095,13692,-1488,-28,16646
4095,4095,13692,-1488,-28,16646
4095,4095,13693,-1472,-34,16722
4095,4095,13693,-1472,-34,16722
4095,4095,13694,-1468,-26,16788
4095,4095,13694,-1468,-26,16788
4095,4095,13695,-1472,-4,16718
4095,4095,13695,-1472,-4,16718
4095,4095,13696,-1490,-12,16700
4095,4095,13696,-1490,-12,16700
4095,4095,13697,-1478,-4,16774
4095,4095,13697,-1478,-4,16774
4095,4095,13698,-1478,-24,16610
4095,4095,13698,-1478,-24,16610
4095,4095,13699,-1444,-12,16684
4095,4095,13699,-1444,-12,16684
4095,4095,13700,-1446,-14,16752
4095,4095,13700,-1446,-14,16752
4095,4095,13701,-1448,-4,16628
4095,4095,13701,-1448,-4,16628
4095,4095,13702,-1466,-12,16718
4095,4095,13702,-1466,-12,16718
4095,4095,13703,-1488,-38,16702
4095,4095,13703,-1488,-38,16702
4095,4095,13704,-1430,-16,16648
4095,4095,13704,-1430,-16,16648
4095,4095,13705,-1466,-12,16768
4095,4095,13705,-1466,-12,16768
4095,4095,13706,-1484,-10,16764
4095,4095,13706,-1484,-10,16764
4095,4095,13707,-1494,-32,16680
4095,4095,13707,-1494,-32,16680
4095,4095,13708,-1478,-4,16732
4095,4095,13708,-1478,-4,16732
4095,4095,13709,-1500,20,16768
4095,4095,13709,-1500,20,16768
4095,4095,13710,-1468,16,16672
4095,4095,13710,-1468,16,16672
4095,4095,13711,-1452,-42,16688
4095,4095,13711,-1452,-42,16688
4095,4095,13712,-1470,-12,16648
4095,4095,13712,-1470,-12,16648
4095,4095,13713,-1500,-40,16716
4095,4095,13713,-1500,-40,16716
4095,4095,13714,-1498,-28,16766
4095,4095,13714,-1498,-28,16766
4095,4095,13715,-1448,-6,16732
4095,4095,13715,-1448,-6,16732
4095,4095,13716,-1494,-30,16676
4095,4095,13716,-1494,-30,16676
4095,4095,13717,-1468,-2,16714
4095,4095,13717,-1468,-2,16714
4095,4095,13718,-1478,-28,16758
4095,4095,13718,-1478,-28,16758
4095,4095,13719,-1468,-30,16698
4095,4095,13719,-1468,-30,16698
4095,4095,13720,-1452,-14,16684
4095,4095,13720,-1452,-14,16684
4095,4095,13721,-1474,-8,16766
4095,4095,13721,-1474,-8,16766
4095,4095,13722,-1448,-22,16606
4095,4095,13722,-1448,-22,16606
4095,4095,13723,-1448,-22,16710
4095,4095,13723,-1448,-22,16710
4095,4095,13724,-1494,-28,16784
4095,4095,13724,-1494,-28,16784
4095,4095,13725,-1494,-34,16698
4095,4095,13725,-1494,-34,16698
4095,4095,13726,-1494,-22,16702
4095,4095,13726,-1494,-22,16702
4095,4095,13727,-1446,-22,16774
4095,4095,13727,-1446,-22,16774
4095,4095,13728,-1418,-32,16614
4095,4095,13728,-1418,-32,16614
4095,4095,13729,-1476,6,16680
4095,4095,13729,-1476,6,16680
4095,4095,13730,-1494,12,16724
4095,4095,13730,-1494,12,16724
4095,4095,13731,-1476,-42,16684
4095,4095,13731,-1476,-42,16684
4095,4095,13732,-1484,-44,16734
4095,4095,13732,-1484,-44,16734
4095,4095,13733,-1492,16,16794
4095,4095,13733,-1492,16,16794
4095,4095,13734,-1490,-52,16706
4095,4095,13734,-1490,-52,16706
4095,4095,13735,-1462,-42,16656
4095,4095,13735,-1462,-42,16656
4095,4095,13736,-1456,-38,16748
4095,4095,13736,-1456,-38,16748
4095,4095,13737,-1434,0,16612
4095,4095,13737,-1434,0,16612
4095,4095,13738,-1506,-38,16736
4095,4095,13738,-1506,-38,16736
4095,4095,13739,-1484,-46,16734
4095,4095,13739,-1484,-46,16734
4095,4095,13740,-1478,-30,16702
4095,4095,13740,-1478,-30,16702
4095,4095,13741,-1460,-6,16786
4095,4095,13741,-1460,-6,16786
4095,4095,13742,-1508,-56,16738
4095,4095,13742,-1508,-56,16738
4095,4095,13743,-1448,-2,16704
4095,4095,13743,-1448,-2,16704
4095,4095,13744,-1478,-24,16742
4095,4095,13744,-1478,-24,16742
4095,4095,13745,-1472,-48,16786
4095,4095,13745,-1472,-48,16786
4095,4095,13746,-1468,-20,16640
4095,4095,13746,-1468,-20,16640
4095,4095,13747,-1436,-18,16630
4095,4095,13747,-1436,-18,16630
